acid,epoxide,tg
COc1cccc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)c1,C(COCCCOCCCOCCCOCC1CO1)COCCCOCCCOCC1CO1,229.6458
CN(CCCCCN(C)CCOCC(=O)O)CCOCC(=O)O,C(COCC1CO1)OCCN1CCN(CCOCCOCC2CO2)CC1,239.9691
O=C(O)CCOCCOCCOCCOCCOCCOCCC(=O)O,c1ccc(CCOCCCN(CCOCC2CO2)CCOCC2CO2)cc1,238.0177
CN(CCCCCOCC(=O)O)CCCOCC(=O)O,C(CCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,224.7155
CCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,CCCCCCCCCCCCCCCCCCCc1cc(OCC2CO2)cc(OCC2CO2)c1,249.9749
CN(CCCOCC(=O)O)C1CCN(CCCOCC(=O)O)CC1,CCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,246.7144
CCCCCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,C(CNCC1CO1)CNCC1CO1,255.9754
O=C(O)COCCOCCOCCNCCOCCOCCOCC(=O)O,c1ccc(CN(CCCCCOCC2CO2)CCCOCC2CO2)cc1,251.8996
O=C(O)CCOCCOCCOCCOCCOCCC(=O)O,C(CCOCCCOCC1CO1)COCCCOCC1CO1,222.8772
CCCCOCCN(CCOCC(=O)O)CCOCC(=O)O,c1ccc(CN(CCCOCC2CO2)CCOCCOCC2CO2)cc1,252.3796
O=C(O)COCCCOCCCOCCCOCCCOCC(=O)O,COc1ccc(OCCN(CCCOCC2CO2)CCOCC2CO2)cc1,250.3474
CCCN(CCCCCCOCC(=O)O)CCOCC(=O)O,CN(CCCCOCC1CO1)Cc1ccc(CN(C)CCCCOCC2CO2)cc1,250.5421
COc1cc(CN(CCOCC(=O)O)CCOCC(=O)O)ccc1C,C(=CCCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,253.6392
O=C(O)COCCOCCCCOCCOCC(=O)O,CN(CCCCCOCC1CO1)CCCCCOCC1CO1,239.0816
O=C(O)COCCN(CCOCC(=O)O)Cc1ccc(CN2CCCCC2)cc1,CCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,234.3893
COc1ccc(CN(CCC(=O)O)CC(=O)O)c(C)c1OC,CCCCCCCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,249.6166
CN(CCCCCC(=O)O)CCCCCC(=O)O,CCN(CCCCCCCOCC1CO1)CCOCC1CO1,234.0632
O=C(O)COCCNCCNCCNCCNCCNCCOCC(=O)O,Nc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,263.6190
CN(CCCCCOCC(=O)O)CCOCCOCC(=O)O,COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,251.0998
O=C(O)COCCCCCCCCCCCCCCCOCC(=O)O,CCCCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,266.4732
COC(=O)CCCOC(COCC(=O)O)COCC(=O)O,C(COCCOCCOCCOCC1CO1)OCCOCCOCCOCC1CO1,243.7805
O=C(O)COCCN(CCOCC(=O)O)Cc1ccc(OCc2ccccc2)cc1,C(COCCOCCOCC1CO1)OCCOCCOCCOCC1CO1,255.5882
CCN(CCCCOCC(=O)O)CCOCCOCC(=O)O,c1cc(CN(CCOCC2CO2)CCOCC2CO2)ccc1CN1CCOCC1,257.1778
O=C(O)COCCOCCN(CCOCC(=O)O)CCC1CCCCC1,Cc1ccccc1CN(CCOCCOCC1CO1)CCOCC1CO1,264.8067
CCOc1ccc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1,C(CCCCCCCCOCC1CO1)CCCCCCCOCC1CO1,269.6327
COC(=O)CCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCCCN(CCCOCC1CO1)CCOCC1CO1,276.2881
O=C(O)CCCOCCCCC(=O)NC1CCN(CCOCCC(=O)O)CC1,CCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,265.5985
O=C(O)COCCCOCCCOCCCOCCCOCCCOCCCOCC(=O)O,c1cc(OCCN2CCCC2)ccc1CN(CC1CO1)CC1CO1,254.9294
CCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,CCCCCCCc1cc(OCCOCC2CO2)ccc1OCCOCC1CO1,285.8500
CN(CCOCCN(C)CCC(=O)O)CCC(=O)O,CCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,247.5757
O=C(O)COCCCN(CCOCC(=O)O)Cc1ccccc1OC1CCCC1,CCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,267.2592
O=C(O)COCCOCCOCCOCCOCCOCCOCCOCC(=O)O,CCCOc1ccc(CNC(=O)CN(CCCOCC2CO2)CCOCC2CO2)cc1,267.0735
O=C(O)COCCN(CCCC1CCCC1)CCOCC(=O)O,CCCOc1ccc(OCCN(CCCOCC2CO2)CCOCC2CO2)cc1,238.0880
CNC(=O)CCN(CCOCC(=O)O)CCOCC(=O)O,C(COCCOCCOCC1CO1)OCCOCCOCC1CO1,248.0347
CCN(CCOCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCCOCC2CO2)CCCOCC2CO2)cc1,259.6863
O=C(O)COCCCN(CCCN1CCOCC1)CCOCC(=O)O,CCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1OC,269.4922
O=C(O)COCCOCCOCCOc1ccccc1OCCOCCOCC(=O)O,COc1cc(C)ccc1CN(CCCOCC1CO1)CCOCC1CO1,263.7946
CCCN(CCOCC(=O)O)Cc1cccc(CN(CCC)CCOCC(=O)O)c1,COc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1OC,265.7228
O=C(O)COCCCCCCCCCCCCCCCCCCCOCC(=O)O,CCCCN(CC1CO1)CC1CO1,246.5411
O=C(O)COCCN(CCOCC(=O)O)CCOC1CCC1,C(CCCOCC1CO1)CCCN1CCC(CCCOCC2CO2)CC1,251.0738
CCCCCCN(CCOCC(=O)O)CCOCC(=O)O,CCCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,265.8092
CN(CCCCOCC(=O)O)Cc1cccc(CN(C)CCCCOCC(=O)O)c1,Cc1cccc(OCCN(CCOCC2CO2)CCOCC2CO2)c1,278.6404
CCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,c1ccc(COCC(CCOCC2CO2)CCOCC2CO2)cc1,255.2009
NCCN(CCCOCC(=O)O)CCCOCC(=O)O,COCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,279.8279
CC(C)CCN(CCOCC(=O)O)CCOCC(=O)O,CCCCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,274.1931
O=C(O)CCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O,CCCCCCCCN1CCc2cc(OCC3CO3)c(OCC3CO3)cc2C1,255.0914
CCOc1c(OC)cc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1OC,c1ccc(OCCOCCOCC2CO2)c(OCCOCCOCCOCC2CO2)c1,254.5298
O=C(O)CCN(CCC(=O)O)CC1CCCCC1,C(CCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,261.1801
CCCCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,O=C(COCCC1CO1)N1CCCN(CCCC2CO2)CC1,256.8427
CCCCCCCCNC(CC(=O)O)C(=O)O,CCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,261.5145
CN(CCCCCOCC(=O)O)Cc1ccc(COCC(=O)O)o1,CCCCCCN(CCCOCC1CO1)CCOCC1CO1,250.3443
O=C(O)COCC1CCN(CCCCCCN2CCC(COCC(=O)O)CC2)CC1,C(CCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,260.3554
O=C(O)COCCCCN(CCOCCOCC(=O)O)C1CC1,COc1ccc(OCCN(CCCOCC2CO2)CCOCC2CO2)cc1,250.7968
CNCCCN(CCCOCC(=O)O)CCOCC(=O)O,Cc1ccc(CCCN(CCCOCC2CO2)CCOCC2CO2)cc1,253.2549
O=C(O)COCC(COCC(=O)O)NCCCOc1ccc2ccccc2c1,C(COCCCOCCCOCCCOCC1CO1)COCCCOCCCOCC1CO1,269.5515
O=C(O)CCCCCCCC=CCCCCCCCC(=O)O,Cc1ccc(CCCN(CCCOCC2CO2)CCOCC2CO2)cc1,230.7724
O=C(O)COCCCCCCc1cn(CCOCC(=O)O)nn1,C(CCCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,248.3397
O=C(O)COCCN(CCOCC(=O)O)Cc1ccc2c(c1)CCCO2,C(CCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,260.5894
CN(CCCCN(C)CCOCC(=O)O)CCOCC(=O)O,C(CCN1CCC(COCC2CO2)CC1)COCC1CO1,245.0416
O=C(O)CCOCCCC(=O)N1CCCN(CCC(=O)O)CC1,CCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,260.7977
CCN(CCCCC(=O)O)CCN(C)CCC(=O)O,C(CN1CCN(CCOCC2CO2)CC1)OCC1CO1,218.1624
O=C(O)COCCCCCCN1CCC(CCCOCC(=O)O)CC1,C(CCOCCOCC1CO1)COCCOCC1CO1,267.2678
O=C(O)COCCCCN1CCC(CCOCC(=O)O)CC1,C(CCCCCCCOCC1CO1)CCCCCCOCC1CO1,260.6644
CCCOc1ccc(OCCN(CCCOCC(=O)O)CCOCC(=O)O)cc1,CCCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,295.0206
CCCCCOc1ccc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1,C(CCCCOCC1CO1)CCCCOCC1CO1,275.0420
O=C(O)COCCN(CCOCC(=O)O)CCOCC1CCCC1,COc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1C,256.4709
CCCN(CCCCCCOCC(=O)O)CCOCC(=O)O,c1ccc(CN(CCCOCC2CO2)CCCOCC2CO2)cc1,270.9701
CCCCCOc1ccc(CNC(CCCC(=O)O)C(=O)O)cc1,CCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,272.9972
