acid,epoxide,tg_md
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccccc2)c1=O,COc1ccccc1NC(=O)c1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,490.8347
CC(C)(C(=O)O)C(=O)Nc1ccc2oc(C(=O)O)cc2c1,O=C(O)c1ccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,621.5403
O=C(O)c1ccccc1C(=O)Nc1cccc(NC(=O)c2ccccc2C(=O)O)c1,CC(=O)NC1CCN(C(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,532.6243
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,O=C(COC(=O)c1cc(OCC2CO2)cc(OCC2CO2)c1)Nc1cccc(N2CCCC2=O)c1,509.9383
Cc1ccc(N2C(=O)c3ccc(C(=O)Nc4cc(C(=O)O)cc(C(=O)O)c4)cc3C2=O)c(C)c1,Cc1cccc(NC(=O)c2ccc(C#N)c(OCC3CO3)c2)c1OCC1CO1,568.7351
O=C(O)c1ccccc1Nc1cccc2c1C(=O)c1c(Nc3ccccc3C(=O)O)cccc1C2=O,NC(=O)c1cccc(Oc2ccc(NC(=O)C(=O)N(CC3CO3)CC3CO3)cc2)c1,558.4702
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)C2CCCC2)c1=O,O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)C(CC1CO1)CC1CO1,533.9904
O=C(Nc1ccccc1C(=O)O)c1ccc(Oc2ccc(C(=O)Nc3ccccc3C(=O)O)cc2)cc1,O=C(Nc1ccccc1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,536.5728
CC1(C)NC(=O)N(c2cccc(NC(=O)N(CCC(=O)O)CCC(=O)O)c2)C1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccc(O)nc2)cc1,567.3064
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2cccc(N3CCNC3=O)c2)c1,CC(=O)Nc1cccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)c1,498.7062
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(C(=O)NC3CC3)c2)c1=O,O=C(Nc1cccc(CNC(=O)N(CC2CO2)CC2CO2)c1)c1ccccc1,503.9371
CC(C)c1cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n(C)n1,O=C(Nc1ccccc1)c1cccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)c1,491.2016
COc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COc1ccc(NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1NC(C)=O,535.2815
O=C(O)c1cc(NC(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)cc(C(=O)O)c1,O=C(Nc1ccc2ccccc2n1)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,536.9426
CC(=O)Nc1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,CN(C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C1CC1,560.1221
COc1ccc2c(c1)OCCN(C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)C2,NC(=O)c1ccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,444.9810
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)c2ccc3ccccc3c2)c1=O,O=C(NCCN1C(=O)COc2ccccc21)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,476.3529
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,O=C(CNC(=O)NC(Cc1ccccc1)CC1CO1)NCC1CO1,541.5860
CC(=O)Nc1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1cc(C(=O)N2CCCC2)ccc1NC(=O)C(=O)N(CC1CO1)CC1CO1,464.2869
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccccc2)C3=O)cc(C(=O)O)c1,N#Cc1ccc(CC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,542.0709
Cn1cc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)ccc1=O,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1ccc2ccccc2c1,525.8347
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccccc1C(=O)NCc1ccc2c(c1)OCO2,O=C(Nc1ccccc1)c1ccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,460.6142
NC(=O)Nc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1nc(OCC2CO2)ccc1C(=O)N1CCC(C(=O)Nc2ccc(OCC3CO3)cc2)CC1,528.8411
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(O)c(C(=O)O)c1)C2=O,Cc1ccc(NC(=O)c2ccnc(C(=O)Nc3ccc(C)c(OCC4CO4)c3)c2)cc1OCC1CO1,545.9504
O=C(O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)c1)C2=O,CC(=O)c1ccc(C(=O)Nc2cc(C(C)(C)C)ccc2OCC2CO2)cc1OCC1CO1,566.9136
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)N(Cc2ccccc2)c2ccccc2)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc2c(c1)OCO2,545.1197
COC(=O)Cc1ccccc1Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,O=C(Nc1cccc(N2C(=O)c3ccccc3C2=O)c1)C(CC1CO1)CC1CO1,563.1503
CC(=O)Nc1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,CCn1c(=O)c(C(=O)Nc2ccccc2OCC2CO2)c(OCC2CO2)c2ccccc21,505.4553
CC(=O)c1cccc(NC(=O)c2ccc(C(=O)O)cc2C(=O)O)c1,Cc1ccc2c(c1)C(=O)N(CC(=O)Nc1ccc(C(=O)N(CC3CO3)CC3CO3)cc1)C2=O,502.7221
Cc1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c(C)c1,Cc1ccc(NC(=O)C(CC2CO2)CC2CO2)cc1NC(=O)c1ccncc1,530.6793
O=C(O)CCC1(CCC(=O)O)C(=O)NC(=O)N(Cc2ccccc2)C1=O,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1ccc(Oc2ccccc2)cc1,520.9725
O=C(O)c1cc(C(=O)CC(=O)c2cc(C(=O)O)c(O)c3ccccc23)c2ccccc2c1O,O=C(c1ccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1)N1CCCC1,563.1064
CCOC(=O)c1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,N#Cc1ccncc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,504.0115
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCN2C(=O)c3ccccc3C2=O)c1=O,O=C(NCC1CO1)Nc1ccc(NC(=O)C(=O)Nc2cccc(OCC3CO3)c2)cc1,526.6509
CC(=O)Oc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(NCC1CO1)Nc1ccc(NC(=O)Nc2ccc(C(=O)NCC3CO3)cc2)cc1,526.2165
COC(=O)c1ccccc1Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,NC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)nc1,504.5222
Cc1oc(C)c(C(=O)Nc2ccc(C(=O)O)cc2)c1C(=O)Nc1ccc(C(=O)O)cc1,Cc1cccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,542.3058
Cc1cc(NC(=O)C2(C(=O)O)CC2)ccc1C(=O)O,COC(=O)c1ccccc1NC(=O)Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O,558.4912
CCc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,CC(=O)c1ccc(NC(=O)CCn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,529.1624
Cc1ccc(NC(=O)NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c(C)c1,O=C(O)CNC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,477.1692
CCN(C(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O)c1ccccc1,CC(=O)Nc1c(C)cccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,554.3044
Cc1oc(C)c(C(=O)Nc2ccc(C(=O)O)cc2)c1C(=O)Nc1ccc(C(=O)O)cc1,NC(=O)c1ccc(N2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)cc1,513.0759
CC(=O)Oc1cc(C(=O)Nc2ccccc2C(=O)O)cc(C(=O)Nc2ccccc2C(=O)O)c1,CC(C)(C(=O)O)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,547.1212
