acid,epoxide,tg
COc1cccc(CC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)c1,Cc1cc(NC(=O)N(CC2CO2)CC2CO2)ccc1N1CCN(C)CC1,381.4106
CCOc1nc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)co1,COCCCOc1ccccc1NC(=O)C(CC1CO1)CC1CO1,361.4996
O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,O=C(NCc1ccccc1OCC1CO1)C1CCC(C(=O)NCc2ccccc2OCC2CO2)CC1,371.818
CC(C)(C)Oc1ccc(CCNC(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(NCCNCCc1ccccc1)C(CC1CO1)CC1CO1,334.2602
CCc1ccc(C)nc1NC(=O)C(CCC(=O)O)CCC(=O)O,O=C(NCc1ccnc(N2CCCCC2)c1)c1cccc(OCC2CO2)c1OCC1CO1,421.2844
CN(C)CCNC(=O)C(CCC(=O)O)CCC(=O)O,COc1cc(NC(=O)c2cc(C)nc(OCC3CO3)n2)ccc1OCC1CO1,373.6722
O=C(O)c1cc(C=Cc2ccc(O)c(C(=O)O)c2)ncn1,CCCNC(=O)CCC(=O)N(CC1CO1)CC1CO1,392.7698
O=C(O)CCN(CCCn1c(O)nc2ccccc21)CCC(=O)O,CCOc1cccc(C=Nc2ccc(OCC3CO3)cc2)c1OCC1CO1,338.3173
O=C(O)CCCOCc1nc(CCCC(=O)O)no1,CN(C)C(=O)CN1CCN(C(=O)CN(CC2CO2)CC2CO2)CC1,332.609
CC(=O)Nc1cccc(CNC(CCC(=O)O)C(=O)O)c1,CCOC(=O)c1ccc(CNC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,405.9493
CN(CCOCC(=O)O)c1ccc(C(=O)c2ccc(N(C)CCOCC(=O)O)cc2)cc1,O=C(NCCCNCC(=O)N(CC1CO1)CC1CO1)c1ccccc1O,351.1417
CCCC(=O)Nc1cccc(NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)c1C,COc1ccc(CCNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,337.9318
