acid,epoxide
O=C(O)c1ccc(O)c(C(=O)O)c1,C(CCC1CO1)CC2CO2
O=C(O)c1ccc(O)c(C(=O)O)c1,C1OC1C2CO2
O=C(O)c1ccc(O)c(C(=O)O)c1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccc(O)c(C(=O)O)c1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccc(O)c(C(=O)O)c1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccc(O)c(C(=O)O)c1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccc(O)c(C(=O)O)c1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1cc(O)cc(C(=O)O)n1,C(CCC1CO1)CC2CO2
O=C(O)c1cc(O)cc(C(=O)O)n1,C1OC1C2CO2
O=C(O)c1cc(O)cc(C(=O)O)n1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1cc(O)cc(C(=O)O)n1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1cc(O)cc(C(=O)O)n1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1cc(O)cc(C(=O)O)n1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1cc(O)cc(C(=O)O)n1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)C(=O)O,C1OC1C2CO2
O=C(O)C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)/C=C/C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)/C=C/C(=O)O,C1OC1C2CO2
O=C(O)/C=C/C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)/C=C/C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)/C=C/C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)/C=C/C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)/C=C/C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)COCC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)COCC(=O)O,C1OC1C2CO2
O=C(O)COCC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)COCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)COCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)COCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)COCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,C(CCC1CO1)CC2CO2
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,C1OC1C2CO2
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,C(CCC1CO1)CC2CO2
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,C1OC1C2CO2
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccc2cc(C(=O)O)ccc2c1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CNCCNCC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CNCCNCC(=O)O,C1OC1C2CO2
O=C(O)CNCCNCC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CNCCNCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CNCCNCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CNCCNCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CNCCNCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C1CCC(C(=O)O)CC1,C(CCC1CO1)CC2CO2
O=C(O)C1CCC(C(=O)O)CC1,C1OC1C2CO2
O=C(O)C1CCC(C(=O)O)CC1,C(CCOCC1CO1)COCC2CO2
O=C(O)C1CCC(C(=O)O)CC1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C1CCC(C(=O)O)CC1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C1CCC(C(=O)O)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C1CCC(C(=O)O)CC1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C(O)C(O)C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)C(O)C(O)C(=O)O,C1OC1C2CO2
O=C(O)C(O)C(O)C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)C(O)C(O)C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C(O)C(O)C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C(O)C(O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C(O)C(O)C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)/C=C\C=C/C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)/C=C\C=C/C(=O)O,C1OC1C2CO2
O=C(O)/C=C\C=C/C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)/C=C\C=C/C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)/C=C\C=C/C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)/C=C\C=C/C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)/C=C\C=C/C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CC(=O)O,C1OC1C2CO2
O=C(O)CC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)/C=C\C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)/C=C\C(=O)O,C1OC1C2CO2
O=C(O)/C=C\C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)/C=C\C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)/C=C\C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)/C=C\C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)/C=C\C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,C(CCC1CO1)CC2CO2
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,C1OC1C2CO2
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,C(CCOCC1CO1)COCC2CO2
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,CC(C)(COCC1CO1)COCC2CO2
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccc(C(=O)O)o1,C(CCC1CO1)CC2CO2
O=C(O)c1ccc(C(=O)O)o1,C1OC1C2CO2
O=C(O)c1ccc(C(=O)O)o1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccc(C(=O)O)o1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccc(C(=O)O)o1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccc(C(=O)O)o1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccc(C(=O)O)o1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccc(C(=O)O)cc1,C(CCC1CO1)CC2CO2
O=C(O)c1ccc(C(=O)O)cc1,C1OC1C2CO2
O=C(O)c1ccc(C(=O)O)cc1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccc(C(=O)O)cc1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccc(C(=O)O)cc1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccc(C(=O)O)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccc(C(=O)O)cc1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
