train_loss1,val_loss1,train_loss2,val_loss2,train_loss3,val_loss3,train_loss4,val_loss4,train_loss5,val_loss5
0.8951,0.6974,0.9112,0.6677,0.9351,0.7924,0.9193,0.6853,0.9276,0.7742
0.4350,0.3457,0.4648,0.3249,0.5176,0.3445,0.5300,0.3656,0.4689,0.3722
0.3031,0.2931,0.3104,0.2897,0.3230,0.2946,0.3294,0.2906,0.3021,0.3189
0.2727,0.2702,0.2774,0.2679,0.2868,0.2735,0.2791,0.2692,0.2719,0.2980
0.2588,0.2612,0.2614,0.2616,0.2702,0.2616,0.2619,0.2610,0.2576,0.2837
0.2494,0.2594,0.2532,0.2512,0.2604,0.2544,0.2519,0.2669,0.2482,0.2771
0.2443,0.2575,0.2467,0.2486,0.2524,0.2518,0.2475,0.2542,0.2430,0.2748
0.2406,0.2490,0.2442,0.2491,0.2482,0.2467,0.2443,0.2527,0.2385,0.2708
0.2383,0.2516,0.2406,0.2466,0.2437,0.2431,0.2409,0.2482,0.2341,0.2669
0.2355,0.2476,0.2382,0.2434,0.2418,0.2394,0.2378,0.2487,0.2322,0.2682
0.2340,0.2474,0.2362,0.2446,0.2394,0.2390,0.2370,0.2474,0.2313,0.2672
0.2322,0.2436,0.2348,0.2454,0.2370,0.2406,0.2360,0.2535,0.2285,0.2673
0.2308,0.2453,0.2341,0.2392,0.2358,0.2387,0.2340,0.2447,0.2274,0.2685
0.2293,0.2459,0.2328,0.2382,0.2347,0.2379,0.2331,0.2433,0.2275,0.2613
0.2293,0.2425,0.2317,0.2418,0.2336,0.2383,0.2315,0.2446,0.2259,0.2656
0.2277,0.2465,0.2312,0.2404,0.2337,0.2378,0.2305,0.2440,0.2246,0.2632
0.2262,0.2411,0.2298,0.2410,0.2327,0.2371,0.2307,0.2456,0.2237,0.2620
0.2265,0.2428,0.2289,0.2395,0.2317,0.2379,0.2297,0.2403,0.2243,0.2617
0.2248,0.2428,0.2285,0.2363,0.2309,0.2386,0.2290,0.2422,0.2223,0.2633
0.2245,0.2436,0.2275,0.2393,0.2314,0.2371,0.2288,0.2399,0.2217,0.2626
0.2244,0.2418,0.2283,0.2402,0.2294,0.2368,0.2284,0.2416,0.2217,0.2630
0.2228,0.2453,0.2274,0.2382,0.2289,0.2362,0.2283,0.2414,0.2205,0.2617
0.2230,0.2424,0.2261,0.2392,0.2292,0.2384,0.2275,0.2420,0.2207,0.2632
0.2233,0.2408,0.2265,0.2384,0.2294,0.2364,0.2267,0.2457,0.2202,0.2616
0.2217,0.2418,0.2261,0.2345,0.2280,0.2378,0.2276,0.2401,0.2191,0.2607
0.2222,0.2414,0.2273,0.2368,0.2270,0.2388,0.2264,0.2409,0.2174,0.2593
0.2216,0.2442,0.2259,0.2377,0.2278,0.2381,0.2260,0.2420,0.2185,0.2618
0.2209,0.2432,0.2242,0.2386,0.2270,0.2348,0.2264,0.2415,0.2169,0.2593
0.2200,0.2451,0.2245,0.2378,0.2269,0.2346,0.2253,0.2401,0.2178,0.2613
0.2213,0.2428,0.2233,0.2401,0.2264,0.2365,0.2250,0.2401,0.2165,0.2657
0.2200,0.2465,0.2244,0.2372,0.2264,0.2386,0.2247,0.2387,0.2171,0.2601
0.2202,0.2436,0.2233,0.2374,0.2256,0.2356,0.2244,0.2406,0.2156,0.2600
0.2190,0.2403,0.2226,0.2402,0.2262,0.2393,0.2241,0.2409,0.2157,0.2606
0.2179,0.2434,0.2224,0.2406,0.2263,0.2366,0.2239,0.2418,0.2143,0.2579
0.2177,0.2429,0.2221,0.2399,0.2255,0.2398,0.2236,0.2408,0.2148,0.2616
0.2179,0.2437,0.2217,0.2388,0.2246,0.2362,0.2232,0.2400,0.2141,0.2592
0.2177,0.2422,0.2216,0.2405,0.2240,0.2373,0.2228,0.2400,0.2136,0.2601
0.2170,0.2436,0.2208,0.2375,0.2248,0.2385,0.2229,0.2384,0.2133,0.2578
0.2162,0.2413,0.2202,0.2374,0.2239,0.2362,0.2225,0.2392,0.2138,0.2601
0.2163,0.2430,0.2209,0.2409,0.2238,0.2371,0.2210,0.2385,0.2136,0.2581
0.2158,0.2422,0.2199,0.2377,0.2243,0.2349,0.2210,0.2397,0.2131,0.2630
0.2154,0.2450,0.2199,0.2382,0.2233,0.2365,0.2220,0.2417,0.2121,0.2627
0.2143,0.2405,0.2197,0.2391,0.2235,0.2379,0.2216,0.2441,0.2120,0.2594
0.2145,0.2447,0.2196,0.2381,0.2224,0.2347,0.2213,0.2425,0.2111,0.2572
0.2140,0.2440,0.2195,0.2389,0.2229,0.2364,0.2214,0.2405,0.2109,0.2575
0.2144,0.2463,0.2186,0.2405,0.2236,0.2374,0.2204,0.2380,0.2105,0.2590
0.2146,0.2436,0.2191,0.2408,0.2225,0.2375,0.2203,0.2432,0.2102,0.2609
0.2140,0.2463,0.2185,0.2378,0.2227,0.2357,0.2188,0.2413,0.2108,0.2593
0.2141,0.2443,0.2180,0.2374,0.2230,0.2365,0.2196,0.2419,0.2091,0.2565
0.2117,0.2445,0.2171,0.2382,0.2214,0.2391,0.2188,0.2394,0.2100,0.2605
0.2129,0.2431,0.2181,0.2380,0.2219,0.2376,0.2192,0.2412,0.2086,0.2621
0.2132,0.2446,0.2170,0.2435,0.2203,0.2375,0.2176,0.2395,0.2095,0.2588
0.2111,0.2412,0.2172,0.2409,0.2204,0.2388,0.2184,0.2417,0.2081,0.2596
0.2112,0.2459,0.2161,0.2397,0.2217,0.2378,0.2172,0.2409,0.2079,0.2598
0.2114,0.2435,0.2169,0.2469,0.2206,0.2385,0.2175,0.2391,0.2080,0.2589
0.2095,0.2432,0.2170,0.2388,0.2219,0.2366,0.2168,0.2396,0.2074,0.2606
0.2093,0.2413,0.2151,0.2404,0.2207,0.2358,0.2164,0.2383,0.2072,0.2596
0.2094,0.2467,0.2144,0.2392,0.2202,0.2360,0.2165,0.2397,0.2072,0.2603
0.2094,0.2408,0.2158,0.2417,0.2203,0.2367,0.2161,0.2417,0.2077,0.2597
0.2088,0.2434,0.2141,0.2401,0.2202,0.2355,0.2155,0.2396,0.2071,0.2644
0.2082,0.2440,0.2148,0.2419,0.2188,0.2378,0.2156,0.2434,0.2066,0.2598
0.2077,0.2468,0.2147,0.2429,0.2189,0.2365,0.2156,0.2386,0.2064,0.2580
0.2071,0.2438,0.2144,0.2447,0.2193,0.2390,0.2145,0.2388,0.2055,0.2606
0.2072,0.2503,0.2142,0.2398,0.2187,0.2387,0.2150,0.2423,0.2066,0.2608
0.2065,0.2431,0.2133,0.2413,0.2198,0.2366,0.2144,0.2426,0.2053,0.2605
0.2067,0.2438,0.2139,0.2436,0.2192,0.2395,0.2135,0.2411,0.2051,0.2586
0.2058,0.2469,0.2124,0.2418,0.2181,0.2390,0.2145,0.2418,0.2038,0.2641
0.2055,0.2451,0.2128,0.2420,0.2174,0.2363,0.2137,0.2421,0.2056,0.2599
0.2043,0.2526,0.2118,0.2468,0.2185,0.2384,0.2150,0.2402,0.2038,0.2585
0.2051,0.2473,0.2130,0.2399,0.2174,0.2374,0.2118,0.2406,0.2024,0.2613
0.2046,0.2453,0.2125,0.2422,0.2167,0.2381,0.2130,0.2386,0.2028,0.2599
0.2029,0.2485,0.2111,0.2413,0.2175,0.2388,0.2132,0.2422,0.2028,0.2613
0.2035,0.2489,0.2122,0.2421,0.2168,0.2372,0.2123,0.2403,0.2032,0.2597
0.2023,0.2484,0.2118,0.2423,0.2161,0.2425,0.2127,0.2443,0.2018,0.2621
0.2026,0.2455,0.2107,0.2433,0.2161,0.2413,0.2113,0.2410,0.2024,0.2618
0.2023,0.2457,0.2098,0.2410,0.2153,0.2408,0.2122,0.2439,0.2025,0.2604
0.2020,0.2476,0.2100,0.2410,0.2154,0.2399,0.2117,0.2463,0.2006,0.2604
0.2005,0.2494,0.2091,0.2441,0.2159,0.2426,0.2107,0.2450,0.2018,0.2603
0.2000,0.2495,0.2098,0.2421,0.2162,0.2369,0.2112,0.2408,0.2004,0.2609
0.2000,0.2469,0.2098,0.2428,0.2156,0.2384,0.2094,0.2442,0.2005,0.2607
0.1996,0.2476,0.2088,0.2415,0.2146,0.2409,0.2101,0.2444,0.2012,0.2589
0.1990,0.2490,0.2083,0.2480,0.2155,0.2395,0.2103,0.2450,0.1997,0.2581
0.1982,0.2518,0.2097,0.2410,0.2145,0.2413,0.2104,0.2410,0.1993,0.2653
0.1982,0.2517,0.2078,0.2432,0.2145,0.2410,0.2099,0.2436,0.1989,0.2625
0.1977,0.2463,0.2082,0.2419,0.2144,0.2398,0.2088,0.2444,0.1986,0.2615
0.1981,0.2476,0.2075,0.2427,0.2142,0.2410,0.2081,0.2433,0.1992,0.2606
0.1970,0.2489,0.2075,0.2444,0.2145,0.2403,0.2086,0.2449,0.1983,0.2607
0.1967,0.2476,0.2069,0.2433,0.2139,0.2382,0.2093,0.2457,0.1985,0.2648
0.1973,0.2552,0.2071,0.2417,0.2142,0.2387,0.2091,0.2426,0.1978,0.2602
0.1970,0.2487,0.2073,0.2422,0.2137,0.2399,0.2079,0.2444,0.1987,0.2623
0.1957,0.2508,0.2057,0.2421,0.2130,0.2393,0.2077,0.2457,0.1965,0.2606
0.1964,0.2516,0.2055,0.2447,0.2136,0.2427,0.2075,0.2467,0.1986,0.2610
0.1948,0.2561,0.2052,0.2425,0.2130,0.2431,0.2069,0.2462,0.1978,0.2618
0.1958,0.2506,0.2057,0.2413,0.2119,0.2473,0.2071,0.2494,0.1967,0.2629
0.1945,0.2516,0.2061,0.2433,0.2119,0.2400,0.2068,0.2437,0.1968,0.2624
0.1945,0.2548,0.2050,0.2432,0.2126,0.2424,0.2072,0.2466,0.1959,0.2636
0.1951,0.2535,0.2048,0.2423,0.2131,0.2422,0.2068,0.2434,0.1959,0.2611
0.1945,0.2499,0.2040,0.2437,0.2112,0.2430,0.2069,0.2448,0.1957,0.2665
0.1931,0.2523,0.2053,0.2448,0.2120,0.2425,0.2069,0.2506,0.1972,0.2615
0.1930,0.2534,0.2049,0.2454,0.2123,0.2442,0.2061,0.2440,0.1949,0.2629
