train_loss1,val_loss1,train_loss2,val_loss2,train_loss3,val_loss3,train_loss4,val_loss4,train_loss5,val_loss5
0.3313,0.2717,0.3397,0.3104,0.3467,0.2522,0.3289,0.2590,0.3432,0.2997
0.2676,0.2746,0.2776,0.2632,0.2696,0.2582,0.2705,0.2374,0.2686,0.2831
0.2610,0.2687,0.2642,0.2599,0.2611,0.2589,0.2689,0.2447,0.2568,0.2844
0.2545,0.2943,0.2606,0.2619,0.2566,0.2511,0.2632,0.2414,0.2525,0.2956
0.2558,0.2630,0.2559,0.2770,0.2569,0.2529,0.2632,0.2438,0.2518,0.2763
0.2548,0.2636,0.2561,0.2529,0.2575,0.2714,0.2626,0.2435,0.2483,0.2775
0.2523,0.2858,0.2548,0.2685,0.2574,0.2540,0.2533,0.2458,0.2481,0.2836
0.2527,0.2783,0.2555,0.2612,0.2518,0.2589,0.2575,0.2516,0.2497,0.2720
0.2543,0.2766,0.2545,0.2695,0.2495,0.2587,0.2599,0.2457,0.2481,0.2875
0.2501,0.2617,0.2574,0.2629,0.2528,0.2452,0.2568,0.2510,0.2500,0.2815
0.2511,0.2753,0.2551,0.2555,0.2541,0.2569,0.2542,0.2422,0.2493,0.2975
0.2526,0.2656,0.2554,0.2580,0.2489,0.2550,0.2564,0.2400,0.2462,0.2724
0.2486,0.2695,0.2561,0.2581,0.2508,0.2715,0.2539,0.2364,0.2466,0.2766
0.2519,0.2629,0.2594,0.2574,0.2481,0.2685,0.2526,0.2427,0.2491,0.2746
0.2510,0.2647,0.2499,0.2521,0.2493,0.2590,0.2526,0.2364,0.2456,0.2717
0.2494,0.2708,0.2539,0.2520,0.2468,0.2475,0.2504,0.2447,0.2425,0.2974
0.2516,0.2646,0.2500,0.2694,0.2470,0.2488,0.2520,0.2367,0.2508,0.2855
0.2495,0.2574,0.2498,0.2583,0.2488,0.2491,0.2550,0.2366,0.2449,0.2762
0.2472,0.2692,0.2515,0.2629,0.2485,0.2553,0.2506,0.2502,0.2434,0.2807
0.2484,0.2535,0.2537,0.2521,0.2473,0.2765,0.2517,0.2474,0.2425,0.2710
0.2494,0.2548,0.2480,0.2554,0.2451,0.2516,0.2475,0.2351,0.2408,0.2882
0.2493,0.2691,0.2491,0.2442,0.2455,0.2443,0.2484,0.2381,0.2451,0.2722
0.2462,0.2607,0.2521,0.2544,0.2436,0.2491,0.2487,0.2426,0.2437,0.2693
0.2465,0.2599,0.2497,0.2490,0.2471,0.2430,0.2531,0.2474,0.2405,0.2760
0.2453,0.2662,0.2489,0.2517,0.2437,0.2618,0.2482,0.2334,0.2430,0.2799
0.2475,0.2691,0.2478,0.2424,0.2445,0.2548,0.2475,0.2434,0.2417,0.2768
0.2462,0.2626,0.2497,0.2560,0.2433,0.2530,0.2471,0.2365,0.2390,0.2779
0.2451,0.2611,0.2471,0.2490,0.2438,0.2468,0.2480,0.2356,0.2446,0.2762
0.2473,0.2621,0.2470,0.2519,0.2427,0.2434,0.2477,0.2314,0.2394,0.2736
0.2447,0.2580,0.2454,0.2466,0.2427,0.2459,0.2462,0.2379,0.2448,0.2776
0.2488,0.2569,0.2497,0.2522,0.2423,0.2549,0.2501,0.2399,0.2409,0.2722
0.2459,0.2599,0.2454,0.2517,0.2453,0.2544,0.2480,0.2398,0.2412,0.2774
0.2427,0.2661,0.2507,0.2564,0.2478,0.2644,0.2488,0.2360,0.2460,0.2784
0.2433,0.2590,0.2451,0.2547,0.2475,0.2469,0.2463,0.2324,0.2434,0.2686
0.2423,0.2640,0.2463,0.2544,0.2448,0.2526,0.2473,0.2342,0.2417,0.2813
0.2431,0.2591,0.2455,0.2538,0.2441,0.2530,0.2478,0.2436,0.2420,0.2717
0.2449,0.2631,0.2446,0.2560,0.2432,0.2522,0.2503,0.2340,0.2392,0.2664
0.2440,0.2560,0.2471,0.2458,0.2427,0.2442,0.2495,0.2373,0.2405,0.2725
0.2449,0.2578,0.2447,0.2570,0.2450,0.2492,0.2455,0.2603,0.2395,0.2800
0.2441,0.2525,0.2481,0.2527,0.2497,0.2475,0.2487,0.2376,0.2411,0.2777
0.2433,0.2578,0.2468,0.2502,0.2469,0.2570,0.2448,0.2374,0.2398,0.2739
0.2463,0.2636,0.2447,0.2598,0.2427,0.2628,0.2470,0.2355,0.2423,0.2731
0.2434,0.2667,0.2466,0.2518,0.2456,0.2447,0.2461,0.2376,0.2408,0.2721
0.2452,0.2556,0.2479,0.2583,0.2428,0.2441,0.2449,0.2325,0.2439,0.2739
0.2426,0.2614,0.2464,0.2480,0.2444,0.2389,0.2454,0.2419,0.2392,0.2782
0.2447,0.2550,0.2447,0.2481,0.2432,0.2490,0.2471,0.2378,0.2418,0.2804
0.2453,0.2551,0.2449,0.2509,0.2435,0.2581,0.2510,0.2389,0.2410,0.2673
0.2414,0.2558,0.2428,0.2596,0.2428,0.2456,0.2457,0.2423,0.2402,0.2737
0.2428,0.2595,0.2460,0.2616,0.2455,0.2458,0.2470,0.2373,0.2414,0.2714
0.2443,0.2612,0.2489,0.2512,0.2447,0.2579,0.2462,0.2335,0.2386,0.2677
0.2466,0.2615,0.2470,0.2545,0.2439,0.2486,0.2483,0.2371,0.2411,0.2691
0.2447,0.2584,0.2471,0.2484,0.2448,0.2507,0.2474,0.2359,0.2381,0.2717
0.2439,0.2561,0.2466,0.2472,0.2447,0.2522,0.2476,0.2368,0.2390,0.2724
0.2428,0.2591,0.2497,0.2532,0.2443,0.2447,0.2475,0.2370,0.2408,0.2688
0.2428,0.2579,0.2464,0.2538,0.2452,0.2481,0.2468,0.2373,0.2408,0.2715
0.2423,0.2582,0.2456,0.2507,0.2451,0.2533,0.2505,0.2373,0.2393,0.2753
0.2422,0.2611,0.2426,0.2473,0.2420,0.2550,0.2489,0.2331,0.2412,0.2724
0.2442,0.2545,0.2471,0.2469,0.2457,0.2646,0.2476,0.2457,0.2429,0.2684
0.2439,0.2650,0.2446,0.2506,0.2480,0.2603,0.2491,0.2370,0.2409,0.2835
0.2431,0.2596,0.2428,0.2611,0.2453,0.2536,0.2473,0.2350,0.2407,0.2730
0.2429,0.2661,0.2480,0.2598,0.2433,0.2478,0.2485,0.2388,0.2383,0.2798
0.2430,0.2617,0.2468,0.2507,0.2423,0.2646,0.2462,0.2333,0.2393,0.2712
0.2453,0.2618,0.2456,0.2462,0.2435,0.2565,0.2503,0.2476,0.2398,0.2855
0.2432,0.2576,0.2452,0.2519,0.2436,0.2522,0.2507,0.2329,0.2407,0.2725
0.2444,0.2537,0.2458,0.2568,0.2457,0.2498,0.2509,0.2412,0.2400,0.2680
0.2433,0.2613,0.2448,0.2439,0.2428,0.2440,0.2464,0.2344,0.2397,0.2673
0.2456,0.2521,0.2466,0.2470,0.2436,0.2479,0.2488,0.2357,0.2426,0.2771
