train_loss1,val_loss1,train_loss2,val_loss2,train_loss3,val_loss3,train_loss4,val_loss4,train_loss5,val_loss5
0.3955,0.3254,0.3859,0.3020,0.4083,0.2996,0.3778,0.3211,0.4110,0.3466
0.3149,0.2936,0.3184,0.2867,0.3200,0.2759,0.3202,0.3632,0.3055,0.3071
0.2972,0.3231,0.3030,0.2641,0.2986,0.3219,0.3043,0.3314,0.3007,0.3451
0.2912,0.2946,0.2878,0.2883,0.2894,0.3149,0.2928,0.2984,0.2868,0.2898
0.2817,0.2748,0.2827,0.2627,0.2832,0.2648,0.2862,0.2777,0.2853,0.2968
0.2869,0.2957,0.2765,0.2828,0.2869,0.2911,0.2780,0.2776,0.2762,0.2956
0.2825,0.3038,0.2764,0.2492,0.2740,0.2630,0.2830,0.3046,0.2734,0.2832
0.2699,0.3168,0.2805,0.2704,0.2741,0.2624,0.2723,0.2966,0.2771,0.2919
0.2780,0.2609,0.2768,0.2708,0.2785,0.2824,0.2748,0.2829,0.2667,0.3423
0.2721,0.2674,0.2714,0.2693,0.2654,0.2711,0.2675,0.2626,0.2701,0.3140
0.2661,0.2841,0.2768,0.2478,0.2657,0.2967,0.2708,0.2890,0.2624,0.3087
0.2725,0.2734,0.2615,0.2623,0.2618,0.2458,0.2739,0.2596,0.2502,0.3169
0.2597,0.2676,0.2703,0.2487,0.2605,0.2657,0.2604,0.2880,0.2589,0.2827
0.2654,0.2599,0.2646,0.2573,0.2605,0.2561,0.2614,0.2850,0.2585,0.2828
0.2619,0.3381,0.2594,0.2380,0.2663,0.2798,0.2577,0.2661,0.2648,0.2669
0.2607,0.3022,0.2623,0.2578,0.2533,0.2920,0.2562,0.2616,0.2599,0.2905
0.2672,0.2575,0.2631,0.2773,0.2617,0.2750,0.2521,0.2469,0.2543,0.3340
0.2573,0.3398,0.2578,0.2933,0.2654,0.2729,0.2629,0.3765,0.2529,0.2741
0.2508,0.2617,0.2665,0.2571,0.2568,0.2591,0.2574,0.3006,0.2612,0.3912
