train_loss1,val_loss1,train_loss2,val_loss2,train_loss3,val_loss3,train_loss4,val_loss4,train_loss5,val_loss5
0.6562,0.3406,0.6598,0.2991,0.6926,0.3315,0.6516,0.3591,0.6441,0.3179
0.3111,0.2895,0.3116,0.4452,0.3095,0.3076,0.3214,0.2762,0.2984,0.2944
0.2738,0.2566,0.2791,0.2630,0.2760,0.2516,0.2826,0.2660,0.2733,0.2745
0.2436,0.3154,0.2393,0.2592,0.2412,0.2728,0.2453,0.2562,0.2423,0.2622
0.2042,0.2471,0.2232,0.2516,0.2146,0.2704,0.2153,0.2823,0.2103,0.2620
0.1929,0.2440,0.1852,0.2898,0.1901,0.2520,0.1915,0.2510,0.1801,0.2674
0.1633,0.2824,0.1604,0.2814,0.1586,0.2658,0.1596,0.2742,0.1677,0.3069
0.1412,0.2726,0.1336,0.3002,0.1344,0.2653,0.1421,0.2811,0.1454,0.2858
0.1190,0.2794,0.1194,0.3418,0.1142,0.2856,0.1241,0.2813,0.1184,0.2849
0.1011,0.2849,0.0993,0.3002,0.0963,0.2864,0.1028,0.2880,0.1008,0.2978
0.0877,0.2936,0.0856,0.3088,0.0853,0.2850,0.0919,0.3003,0.0900,0.3014
0.0725,0.2976,0.0709,0.3196,0.0717,0.3010,0.0756,0.3089,0.0773,0.3183
0.0628,0.3031,0.0647,0.3243,0.0628,0.3007,0.0662,0.2928,0.0668,0.2957
0.0588,0.2894,0.0551,0.3046,0.0575,0.3095,0.0569,0.2972,0.0564,0.3019
0.0536,0.3001,0.0505,0.3330,0.0496,0.2867,0.0522,0.3007,0.0534,0.3158
0.0472,0.2947,0.0468,0.3373,0.0452,0.2972,0.0494,0.2955,0.0466,0.3181
0.0432,0.2859,0.0436,0.3218,0.0424,0.2898,0.0437,0.2936,0.0425,0.3084
0.0397,0.2954,0.0395,0.3212,0.0387,0.2968,0.0415,0.2910,0.0407,0.2961
0.0359,0.2877,0.0363,0.3139,0.0350,0.2823,0.0384,0.2963,0.0367,0.3071
0.0332,0.2927,0.0331,0.3087,0.0341,0.2962,0.0356,0.3018,0.0350,0.2931
0.0319,0.2929,0.0336,0.3182,0.0309,0.2897,0.0336,0.3014,0.0324,0.3012
0.0302,0.2897,0.0307,0.3163,0.0299,0.2964,0.0315,0.2915,0.0307,0.3012
0.0305,0.2912,0.0277,0.3112,0.0283,0.2878,0.0308,0.3018,0.0291,0.3095
0.0275,0.2847,0.0283,0.3053,0.0277,0.2922,0.0290,0.2940,0.0276,0.2970
0.0261,0.2897,0.0268,0.3123,0.0258,0.2835,0.0264,0.2924,0.0263,0.3022
0.0244,0.2856,0.0258,0.3089,0.0238,0.2868,0.0255,0.2914,0.0247,0.2966
0.0242,0.2893,0.0243,0.3121,0.0237,0.2785,0.0247,0.2917,0.0229,0.2963
0.0232,0.2888,0.0232,0.3080,0.0230,0.2895,0.0240,0.2939,0.0219,0.2987
0.0220,0.2870,0.0226,0.3043,0.0223,0.2845,0.0235,0.2893,0.0218,0.3020
0.0223,0.2861,0.0218,0.3077,0.0215,0.2840,0.0216,0.2898,0.0223,0.2982
